,en,ko,fr,es,de
Abstract,Congratulations! You have passed the assessment stage! You are ready to deepen your knowledge about how cognitive business operations can enhance process and decision management.,축하합니다! 귀하는 자가진단 단계를 완료하였습니다! 귀하는 코그너티브 비즈니스 오퍼레이션이 어떻게 비즈니스 프로세스와 업무적 의사결정 관리를 개선할 수 있는지 확인하실 수 있습니다.,Félicitations ! Vous venez de passer l'étape d'évaluation. Vous voilà prêt à approfondir vos connaissances pour savoir comment les opérations commerciales cognitives peuvent améliorer la gestion de la prise de décision et les processus.,¡Felicitaciones! ¡Ha pasado la etapa de evaluación! Ya está listo para ampliar su conocimiento sobre cómo las operaciones empresariales cognitivas pueden mejorar la gestión de procesos y decisiones.,"Glückwunsch! Sie haben das Assessment bestanden.
 Wir zeigen Ihnen nun, wie Sie Ihre Prozess- und Geschäftsregeln-Umgebung mit Cognitive Business Operations anreichern können."
,,,,,
Offer 1,,,,,
Title,Hear the Truth,진실을 알려드립니다,Apprendre la vérité,Conozca la verdad,Das sind die Fakten
Text,"Are you skeptical about the benefits of Cognitive Business Operations? Perhaps it sounds like something that would be too expensive for your company, or too risky, or simply just not something a company could endeavor upon just yet. At this stage in your journey, it's normal to wonder about these things - revolutionary technology has a tendency to invoke these sentiments.",코그너티브 비즈니스 오퍼레이션이 제공할 수 있는 혜택에 대해 의심하고 계십니까? 너무 비싸거나 너무 위험하다고 보십니까? 아직 귀사에서 적용할 수 없는 영역이라고 생각하십니까? 이런 의심을 갖는 것은 당연합니다. 그러나 혁신적인 기술들은 언제나 이런 질문들과 함께 해왔습니다.,"Êtes-vous sceptique quant aux avantages des opérations commerciales cognitives ? Peut-être vous semblent-t-elles trop chères ou risquées pour votre entreprise, ou ne sont-elles pas encore le genre d'initiative que votre entreprise peut se permettre de prendre. À ce stade, rien de plus normal que de se poser ce genre de questions, les technologies révolutionnaires ont tendance à générer des sentiments de cette nature.","¿Es escéptico respecto de los beneficios de las operaciones empresariales cognitivas? Quizá suena como algo demasiado caro para su empresa, demasiado arriesgado o simplemente algo que su empresa aún no podría implementar. En esta etapa de su transición es normal tener estas dudas. La tecnología revolucionaria tiende a generar esos sentimientos.","Klingen die Vorteile von Cognitive Business Operations für Sie unglaubwürdig ? Vielleicht hört es sich nach etwas an, was für Ihr Unternehmen zu teuer oder zu riskant ist ? Oder ist es etwas, das für Unternehmen noch nicht realistisch ist? Auf dieser Etappe Ihrer Reise ist es normal, sich diese Dinge zu fragen – revolutionäre Technologie tendiert dazu, diese Gefühle zu aktivieren."
,,,,,
,"Well, there's good news: It's real, attainable, and ready to implement right now.","좋은 소식이 바로 여기 있습니다. 실제적이고, 구현할 수 있고, 바로 실행할 준비가 되어 있다는 점입니다.","Eh bien, bonne nouvelle : Celles-ci sont réelles, abordables et prêtes pour leur mise en œuvre immédiate.","Bueno, aquí las buenas noticias: es real, asequible y lista para implementarla al instante.","Nun, es gibt gute Neuigkeiten: es ist echt, erreichbar und steht sofort zur Verfügung."
,,,,,
,"Jim Casey, Senior Product Manager, is here to let you in on the truth about Cognitive Business Operations. After watching this video, you'll be one step closer to processes and decisions that sense, respond,and learn.","IBM의 제품 관리 담당 임원(Senior Product Manager)인 Jim Casey가 여러분에게 코그너티브 비즈니스 오퍼레이션에 대한 진실을 전달해 드릴 것입니다. 비디오를 보시고 나면 감지하고, 반응하고, 학습하는 다음 단계로 나아가게 될 것입니다.","Le Directeur principal des produits, Jim Casey, est là pour vous apporter toute la lumière concernant les opérations commerciales cognitives. À la fin de cette vidéo, vous aurez fait un pas de plus vers les processus et décisions qui captent, réagissent et apprennent.","Jim Casey, Director Seniorde producto, está aquí para que conozca la verdad sobre las operaciones empresariales cognitivas. Después de ver este video se encontrará un paso más cerca de los procesos y las decisiones que brindan un sentido, una respuesta y un aprendizaje.","Von Jim Casey (Senior Produkt Manager) erfahren Sie einige Fakten zu Cognitive Business Operations. Dieses Video bringt Sie noch einen Schritt näher an Prozesse und Entscheidungen, die fühlen, antworten und lernen können."
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Offer 2,,,,,
Title,Hear from an expert,전문가 의견,Un expert témoigne,Escuchar a un experto,Das sagt der Experte
Text,Start your journey with an inside look at how cognitive technology is transforming the field of business process management (BPM.),코그너티브 기술이 비즈니스 프로세스 관리 영역을 어떻게 변화시키고 있는지 확인하십시오.,Entamez votre voyage en voyant de l'intérieur comment la technologie cognitive transforme le domaine de la gestion des processus d'affaires (BPM).,"Comience su transición con una mirada sobre cómo la tecnología cognitiva está transformando el campo de la gestión de procesos empresariales (Business Process Management, BPM).","Beginnen Sie Ihre Reise mit einem Einblick darin, wie kognitive Technologie den Bereich Business Process Management (BPM) verwandelt."
,,,,,
,"Understanding the importance of BPM as a foundation of Cognitive Business Operations is a big step in your progress toward automating your processes, augmenting your knowledge workers and discovering new insights.","BPM을 코그너티브 비즈니스 오퍼레이션의 중요한 기반 기술로 인식하는 것은 귀사의 프로세스 자동화, 업무 전문가 역량 강화, 새로운 통찰력 확보를 위한 중요한 첫 걸음입니다.","S'il y a une grande étape avant l'automatisation de vos processus, le renforcement de vos travailleurs intellectuels et la découverte de nouvelles perspectives c'est bien de comprendre l'importance de la BPM en tant que fondement des opérations commerciales cognitives.","Entender la importancia de BPM como el cimiento de las operaciones empresariales cognitivas es un gran paso en su progreso hacia la automatización de sus procesos, el aumento del conocimiento de sus empleados y el descubrimiento de nuevos enfoques.","Das Verständnis für die Wichtigkeit von BPM als Grundlage von Cognitive Business Operations ist ein großer Schritt zur Automatisierung Ihrer Prozesse, zur Steigerung des Wissens Ihrer Fachkräfte und zur Entdeckung neuer Einblicke."
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Resources,,,,,
Title,Related Resources,관련 리소스,Ressources connexes,Recursos relacionados,Weitere ergänzende Informationen
,,,,,
Resource 1,,,,,
Shape,Blog,블로그,Blog,Blog,Blog
Abstract,See the criteria used to infuse business ops with cognitive computing,코그너티브 비즈니스 오퍼레이션에 코그너티브 컴퓨팅을 접목시키는 기준,Voyez les critères utilisés pour sensibiliser les exploitants d'entreprise à l'informatique cognitive.,Mire los criterios utilizados para mezclar las operaciones empresariales con la informática cognitiva,"Sehen Sie die Kriterien, die benutzt werden, um kognitive Technologie in Geschäftsabläufe einfließen zu lassen."
CTA,Learn more,자세히 보기,En savoir plus,Conocer más,Mehr Informationen
,,,,,
Resource 2,,,,,
Shape,Watch,비디오,Voir,Ver,Ansehen
Abstract,Ushering your business into the Cognitive Era Video.,코그너티브 시대로 귀사의 비즈니스 인도,Vidéo : « Faire entrer son entreprise dans l'ère du cognitif ».,Video: guiar a su empresa hacia la era cognitiva.,Video: Führen Sie Ihr Unternehmen in die kognitive Epoche ein.
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Resource 4,,,,,
Shape,Website,웹사이트,Site internet,Sitio web,Webseite
Abstract,Continue exploring cognitive business operations,코그너티브 비즈니스 오퍼레이션 웹페이지,Poursuivez l'exploration des opérations commerciales cognitives,Continuar explorando las operaciones empresariales cognitivas,Mehr zu Cognitive Business Operations
,,,,,
